Raman shift [1/cm],AT1,AT2,AT3,AT4,AT7,AT8,AT9,AT10,AT11,AT12,AT13,AT14,AT15,AT16,AT17,AT18
3200,247.3606942,474.9788349,70.26088393,451.0495376,96.09316077,396.8781646,2.721051558,148.5863079,7.044928377,815.9256165,616.0325078,124.1576249,62.9188086,261.2926706,491.8245256,327.8579926
3198,200.4875817,534.9741197,62.37150862,92.37094055,202.1120154,451.8001172,144.3093873,416.3100823,505.470024,2925.481106,275.9739494,211.0423284,36.75496382,459.6759407,409.7143497,337.5867963
3196,134.8069185,614.7905381,113.268643,98.10561444,242.5391363,434.0536845,222.23962,273.8873706,470.1569042,2611.753421,128.6115454,461.864415,191.1946319,494.2036982,598.994438,332.15902
3194,117.4774651,650.2199626,158.1445433,222.122619,229.3351252,383.3040574,218.0731855,199.3083677,327.9669553,1913.342813,74.14821512,539.5299288,292.0746921,475.0084092,729.4902597,356.3017456
3192,135.8606432,668.0628018,162.7450479,330.3595497,191.7402215,292.6253342,161.1157585,358.4397015,307.9839834,2038.619856,73.28348,306.8155532,214.6805523,435.5886778,617.7948369,447.647189
3190,218.5317363,659.5978928,143.2834269,334.9812366,193.2072808,387.504793,136.7857769,482.0207505,216.0997946,1875.774937,167.1889402,358.4600296,150.9127746,444.4156587,530.3293765,627.6585527
3188,192.0103789,775.1265399,122.5880591,340.3551429,234.9807857,441.1113583,236.6989827,300.4820192,1.521674805,1447.746057,355.6979085,626.0761245,120.2107643,402.8489174,451.5194575,826.9641904
3186,140.6800658,745.5558716,113.0911462,358.9974161,214.3628241,316.6311972,387.6276979,339.2310149,0,1301.830968,309.0979149,617.7276545,139.7412188,569.331502,354.086541,678.8594472
3184,165.1210109,696.3249011,114.7726125,423.114599,202.481848,206.8685818,494.4504459,453.9009355,116.015528,963.4338232,368.0618197,399.9142661,331.6944341,732.3496949,570.2015126,303.5477542
3182,145.8933459,769.1251954,98.74809642,465.0724677,257.3179118,94.20625192,520.0169519,398.4410613,228.7030176,1102.554325,486.3986849,174.4099909,389.5334561,673.0665092,711.2022137,432.7175913
3180,103.1293891,705.5243049,90.98363776,498.4456796,273.8427826,81.63187104,476.6027598,354.847194,278.7912805,1126.759249,357.8636273,116.5262167,241.4194094,576.8081353,494.0303158,773.958522
3178,111.5735074,544.6967655,110.0363622,555.519982,237.2325113,256.264108,459.0300485,413.0551176,388.0392259,623.4918283,190.9827571,279.932288,128.9562598,642.2253422,284.154506,602.092911
3176,104.032408,741.6921444,82.14751446,410.4368321,241.0912704,237.5124986,498.0424229,258.0809084,464.0970702,968.4837065,410.1042173,463.5552595,20.56878268,722.7227994,425.5914135,609.0820635
3174,117.8801566,839.1908354,49.58455199,367.8716654,274.6304822,19.71142511,416.8110294,181.9865548,250.6998101,1019.082029,396.0896046,430.3685422,31.36114205,724.305,666.5040884,665.8744274
3172,133.076433,686.6562945,60.05764848,426.82165,295.6331227,41.32928369,324.0892489,167.2629397,206.9116476,759.1796416,189.0664946,307.8664755,178.818762,613.0400257,713.847154,534.7159565
3170,140.4083179,693.3639364,86.17865757,302.636447,285.4233933,341.8162599,292.513999,80.72035459,560.7172739,806.3520665,254.7876518,303.474316,281.5839556,504.5632628,664.2888187,495.244383
3168,145.9550312,935.8792977,98.33575219,265.2365038,311.3026406,296.353237,136.0082063,218.8876915,627.4662293,598.674187,283.5833617,341.0563474,284.7677623,514.3474309,600.7047092,585.4284037
3166,127.8069797,836.8984657,109.6536754,488.8691741,292.6217813,268.5905017,102.1060468,409.7137494,262.3869603,264.1814893,272.0774198,401.3575813,455.1418023,480.1650606,380.7654642,615.9577858
3164,88.36922035,721.740896,152.5190708,548.0388252,202.4064275,347.7439525,189.8953766,306.1888419,13.94249957,84.53782799,411.9056272,411.1182749,532.5677998,597.114694,296.1291398,767.677632
3162,64.91696154,865.7356491,184.8596619,425.4443283,220.609304,318.8546009,250.5350653,200.2003328,157.2454904,94.98146517,477.8476494,295.6564996,332.8312047,804.0154611,379.5011536,820.3282714
3160,108.0215439,821.1974958,126.4038766,439.4673219,328.7706552,249.866289,334.5635814,382.0466761,355.8364352,122.0568196,340.6291403,157.7576371,198.457248,743.3338803,370.3456411,587.0885873
3158,125.2809679,719.7857081,0,524.2595881,263.3171578,330.955474,424.3656359,324.7713479,358.7687351,106.2747197,322.4749417,150.3443418,277.9215614,648.1564783,425.8529942,574.6775919
3156,77.45287636,934.4830494,45.02103998,619.2285312,178.0406698,307.4111226,403.4611927,71.72174471,347.7166339,120.8803639,292.2453417,243.6364731,335.7765269,805.3885574,467.8344945,641.990133
3154,78.23059015,1045.440271,145.0011317,613.5213873,211.8855987,321.3396247,364.9541864,41.28056871,505.5189992,177.6418898,301.5441697,332.53422,321.0874926,860.4453317,312.1637609,553.3513117
3152,122.9357248,963.7403725,100.0479958,523.4448546,274.1507525,430.1081464,362.4217971,212.5012325,612.4971959,248.6679516,403.2355829,381.1807697,331.2159496,673.4167885,236.5504607,480.264698
3150,109.1750452,1183.470672,65.46237768,461.2944132,260.318018,347.7655684,314.6930672,185.8314066,428.3615047,273.9224924,398.6871006,445.8518385,388.0949397,674.5035013,549.9183127,639.379967
3148,87.41092749,1226.266661,141.6200425,487.4631519,319.4363581,296.3521602,242.9775407,81.73957883,353.6461516,156.1167099,311.6732371,452.8502856,466.387288,714.6787084,601.107193,653.6007912
3146,117.386687,1063.772198,148.4838344,386.8492998,338.2998558,433.4795532,195.1121535,155.5654245,522.8159561,94.83895381,340.4322505,392.4944964,544.4233665,763.6859084,495.1723275,526.5306333
3144,178.2696877,1051.187003,95.50646523,283.6398983,207.461035,525.8118031,182.3626891,283.732599,621.8458898,140.2817231,409.6645753,366.6250321,533.8673222,721.8297188,472.8149765,455.151893
3142,176.0152763,1205.172299,137.5832458,487.9074581,135.142242,411.5983268,181.9019239,224.5811217,514.7049868,113.0354477,328.4894471,349.8303008,399.4306796,477.8226709,316.2070126,493.3327269
3140,126.0541241,1214.825333,173.2903975,578.8862861,215.2143657,446.7972226,280.5485052,130.3416461,459.3264671,18.51336189,319.087367,258.7183543,399.8489213,423.4777965,202.6699893,797.488701
3138,105.2949183,1132.278918,119.3072774,522.7802521,263.215603,577.2437838,447.3096114,221.9134013,495.9721232,0,357.2068444,312.5553947,517.6742442,631.3074354,326.3980808,866.7603286
3136,132.0577548,1112.533393,62.27312075,617.2937434,254.7732657,466.1342244,502.2482822,374.9289086,498.0788899,4.04526837,352.5354027,361.7213436,494.4337871,745.3334011,334.4473781,631.173229
3134,177.1019563,1178.014797,60.51161458,728.813124,227.0535404,294.4447395,502.8929633,388.1223117,514.2754473,6.577516636,381.9920596,250.6622134,374.5155376,653.4075627,163.7196257,539.6223865
3132,169.0806367,1291.322148,49.52918306,635.0012875,194.9461116,441.7148415,608.226979,299.6932626,712.961691,8.581222542,414.666915,237.5819068,379.0707871,575.5631475,177.3116703,539.808396
3130,119.0574454,1378.60765,98.31101041,526.8985529,241.8060332,484.7077296,606.8836764,127.0441011,834.8109325,6.576565811,332.3478986,347.4685315,399.2592723,656.4039558,260.7023822,551.2363463
3128,119.2217387,1384.86809,135.573854,420.9389561,292.5495083,430.3495249,490.2905018,84.72322193,681.9314066,5.2979136,314.164729,402.0626457,365.302394,739.9467752,266.8270009,610.0930703
3126,133.720112,1326.84954,110.6495776,461.8844857,303.891685,445.1203329,473.6004566,195.1114082,598.0100645,68.80895949,384.524014,374.5342071,343.5893716,605.0421942,211.284391,553.075757
3124,122.3508093,1302.022345,139.001433,602.3939938,292.0350094,437.3647694,534.5512522,205.5735482,772.5442057,180.8643091,437.1429537,360.4775271,368.2294481,456.670914,231.5057398,487.7105202
3122,133.1819233,1399.876806,221.9605275,505.5507277,256.9690235,405.9627409,350.2434152,140.342929,732.6599794,160.1759029,480.6810055,374.6973494,302.7607282,570.8842024,292.7544634,576.1242439
3120,63.98075965,1305.886442,145.132476,380.9183359,221.1902429,450.9921514,220.8196707,212.2963555,551.7444099,38.20407181,402.2986697,385.2676119,323.6211455,615.021107,244.4075213,462.7528432
3118,15.54099104,1129.632045,64.16405729,382.6487613,200.0356518,552.0563903,415.2960426,255.1332235,515.5147307,0,404.0198972,419.563372,457.3931067,522.007232,164.4441761,485.2870494
3116,95.24776432,1186.681715,113.9677003,440.4408852,224.1260691,533.2825923,605.5495467,174.4346482,618.6077894,7.166652132,540.1237306,449.4086507,482.8161518,499.7110106,125.3501443,639.1647596
3114,155.9979433,1273.497048,102.02287,485.7694384,278.7889441,314.6630804,489.0140681,160.2227726,673.6497659,3.901251319,512.3417779,374.456173,396.9414447,602.9622694,81.45576036,439.7651554
3112,107.9324163,1197.67208,68.17015121,609.3470468,300.6060092,292.3114325,437.8279484,136.4041433,634.7403991,0,406.4695518,361.7271181,321.4007908,694.0828437,56.28480024,469.45921
3110,21.74165547,1317.551937,96.69557996,636.2701631,297.528011,471.5922077,566.9118242,153.7768106,585.6984598,10.59294475,434.858396,409.9353717,214.3757467,635.9852665,40.53521987,615.0061688
3108,13.89754338,1445.08727,119.0953892,505.9214845,269.0560662,437.4649713,659.8694116,267.8843546,643.5651401,93.11814055,534.9043596,407.2236795,233.4986018,540.6015429,41.78207472,588.9962212
3106,78.59557086,1256.430339,84.11150044,439.8494099,239.2297965,253.5119514,605.5349216,299.1582204,742.1000797,163.8763693,512.8246003,404.9232753,360.1125666,554.9797701,83.25106183,506.101911
3104,81.07964942,1213.829263,77.21281884,410.6491836,270.9123257,389.3721881,575.6836763,93.54897859,719.2074845,108.2367977,407.7508182,432.9017438,257.3147081,607.90099,178.0408016,390.4665493
3102,39.27087844,1326.096733,81.35750601,297.2722516,304.0795059,463.7433819,561.3735445,96.58290958,716.7754616,16.26070935,514.6297887,402.0663575,295.168566,586.3968954,198.3442147,356.6809941
3100,33.25763899,1352.472601,96.13342664,342.1179918,315.5884745,397.3741695,487.4507197,300.6235821,817.6635015,0,649.4250335,388.1070057,442.5778577,530.0571314,184.0216798,494.2662211
3098,47.82494333,1260.326187,139.9861005,416.8830632,306.6212687,384.4519988,453.4535477,420.8033653,804.8427723,5.873039722,549.5745123,434.7157214,435.322237,543.994478,219.1149465,580.5890597
3096,36.76398074,1158.930371,188.1168666,214.6958587,280.079324,377.9154606,499.5255999,515.0971178,579.4740226,2.033836548,475.5204166,488.441869,395.9412028,596.2026008,183.0716245,498.7922754
3094,41.93238761,1061.943776,187.2760098,277.5397437,315.4666665,391.9327863,397.6301806,525.880659,587.5403641,0,574.791608,508.7218362,349.2627083,604.2538017,64.69748939,515.2575023
3092,68.3125002,1000.32049,140.9972112,389.8453765,312.8835086,338.6169339,412.5798213,364.3636398,658.9118654,0.286382016,550.3294218,424.6425529,215.4010621,583.6079785,134.763946,442.6118775
3090,77.36170575,989.9926542,104.3514667,319.7977473,260.7208455,267.0744392,549.0814352,310.9440577,636.0924106,0,464.9146075,383.6891677,179.2626675,571.789138,281.282966,334.9898023
3088,56.59689904,1056.410312,109.9392348,326.3242123,271.3815615,344.7483363,513.6511768,461.2233915,673.945906,0.246563337,517.4397695,451.0428106,327.1863973,582.263067,258.1709026,414.8331216
3086,62.33503451,1157.19773,132.1623197,407.4519752,282.1936039,449.5425936,469.1571665,454.6730433,633.8806979,1.917153156,517.2312301,413.9630944,391.6291551,583.5763129,218.1666509,466.1731659
3084,59.39885627,1088.5418,106.2569709,412.2214195,225.8174341,412.6843474,590.5904826,371.2563642,605.9626691,0,532.1626003,341.5830803,324.9695788,531.4121219,269.1771589,348.9400764
3082,45.58464739,1004.232382,59.41784188,391.6851983,200.2551765,385.4275923,626.8288411,328.5517884,776.9635142,21.52815346,592.8117455,332.0921805,253.3551745,537.1365131,383.1878184,288.5974619
3080,72.90233871,1051.965725,71.48883689,359.3091188,253.2662581,449.5541345,595.8272932,289.4788528,862.488121,64.07343814,637.0975858,362.890374,294.0623918,566.79791,408.0384928,353.6164558
3078,113.7910179,1053.112419,126.7974827,289.1223292,315.8546797,494.4449495,738.5807174,253.5320698,676.4896294,57.77461633,648.7893867,367.3136126,387.3723392,467.3336344,298.212383,290.7546768
3076,114.856293,957.1995639,135.5770435,194.9560794,332.8400592,493.0051094,697.7700436,378.8421857,674.5659251,11.11470866,634.7302155,315.8936549,399.095001,415.4687871,296.7386408,147.1851701
3074,115.7627215,898.9435444,120.6532086,219.1051966,300.5786673,422.0635643,538.8137844,482.6374925,703.0731625,0,652.2392829,302.5808072,342.7888113,486.61626,274.0728813,223.2486534
3072,112.1239257,873.06143,128.3828604,383.7881599,256.5597705,378.2149809,467.6964069,389.3589023,577.213311,2.85947239,652.2233962,380.2715188,341.0117081,485.7535087,177.3361908,437.734145
3070,115.3831653,821.0277526,151.740151,415.6178277,209.3360374,384.8249624,458.9724118,261.4223238,480.1416555,0.757655568,568.1725676,477.8557279,370.0586674,417.5527636,202.4653084,477.6543603
3068,163.9711716,823.7771981,159.8145815,296.8628857,183.5886144,349.9362561,499.6436655,259.6994987,581.1378305,0,536.6736003,522.4468334,233.8839908,544.0537363,286.5441725,382.0145917
3066,131.5795501,875.7517009,136.4644831,426.7279501,202.4229305,407.2521552,609.9958019,249.5116591,605.1042112,0.117750679,643.6807539,467.5915288,122.8378614,559.4337461,215.8361458,371.036768
3064,94.86159417,818.7254155,116.0888129,479.8551797,187.2502738,518.5042559,663.01076,283.5567498,437.7457969,0,716.7442627,429.3141761,166.1814231,510.0339187,176.2658883,414.3422742
3062,117.0396356,699.9684175,97.96687348,368.9005886,173.4293447,483.7870866,708.7101171,389.5554857,378.1261216,0.382101282,699.6214219,426.0145403,279.6256136,580.5240181,244.7410242,398.3748843
3060,91.1252468,732.3687523,60.74619947,456.053089,240.3574714,339.2558986,821.9856216,410.2534687,484.319217,1.044848596,706.0603372,352.251173,377.3622502,580.7731595,256.6371161,375.2314247
3058,58.53678073,777.8294774,66.96678375,380.6584333,259.4627614,409.3816165,752.8397207,328.3349867,329.1187602,1.08426741,693.3520761,386.1238865,328.3319252,470.3080169,301.8344376,405.7984304
3056,92.89910082,776.1790664,61.90459171,270.9486077,235.7584346,490.77354,667.6691865,381.1989494,314.6713844,0.13674697,752.9798884,460.4158408,287.9567102,524.8584918,332.3431693,427.3414671
3054,140.9298605,743.0425273,43.73001459,327.57971,258.5015144,387.7388323,686.5937367,522.4998576,457.1977115,0,803.7290305,435.0735133,386.8145721,646.6066332,336.9883885,426.2251433
