Raman shift [1/cm],IF1,IF2,IF3,IF4,IF5,IF6,IF7,IF8,IF9,IF10,IF11,IF12,IF13,IF14,IF15,IF16
3200,0,631.2914419,1126.885314,1788.331104,116.8510959,0,255.1949624,2593.278879,839.6104612,1295.254953,807.8485899,881.4988678,2196.107697,704.9533203,432.8443297,121.1871752
3198,505.0530002,1231.083523,1035.081236,1794.157042,130.9431577,423.7123753,1094.75949,2256.628687,1147.69732,1334.616398,1185.773625,2103.984315,1779.699331,653.7041711,461.2250128,48.4993675
3196,219.4427338,925.7102753,798.0580756,1607.160728,94.7947937,550.8971106,710.2860519,3119.700184,1046.967482,1579.881312,872.3066185,1879.318806,2192.527492,664.9393708,626.9609307,119.6941421
3194,105.4398894,686.312768,609.6903754,1437.253784,133.2037583,416.6991374,234.833066,3656.916319,968.8811481,1489.260606,716.9165722,1524.337267,2441.780284,833.464531,773.4796956,132.3189215
3192,484.1204197,990.9177647,612.8518227,1456.528613,276.4904099,124.2158721,195.4624948,3409.119819,1036.312952,827.3103711,1042.364097,1621.716312,2210.148578,1213.478681,937.7208452,59.13699816
3190,922.6727905,1033.211208,594.9109371,1389.726692,473.650486,87.45972597,341.123174,2790.630196,1398.926019,967.1268255,1315.412828,1991.379947,1976.944616,1054.379091,755.6080275,67.47068489
3188,612.8923876,783.3661469,719.4210394,1423.646489,545.9001228,335.683157,262.0272023,3029.689377,1355.000105,1385.350701,1104.881945,1879.737559,2486.310963,838.6555686,945.6690159,416.3529056
3186,288.6063037,844.2152935,813.6434797,1319.325912,403.0068763,367.2466431,628.3033197,2421.233206,778.9416727,814.4146228,1161.689,1812.362165,2578.386832,1164.731012,1382.621034,560.38314
3184,475.6924987,975.4669243,723.8825896,1183.997771,98.27221206,134.5981957,757.6843065,2333.429716,595.6212872,629.583881,1715.217562,1649.513543,2364.647158,1158.099839,968.0885404,266.2639555
3182,555.4172215,935.3898658,520.8367945,1442.87752,275.6412984,342.071172,461.0627796,3742.087462,699.2119452,1043.923452,1422.693075,1634.516663,2306.637766,803.5162597,746.998475,169.8410537
3180,404.1470539,913.3441388,326.8979942,1689.98666,703.6935803,656.316702,442.7642283,4197.689597,882.0085035,1076.388252,690.119135,1832.714318,2222.469427,707.7290952,1121.698746,472.4718185
3178,679.4574394,1178.348405,321.4119097,1529.611365,546.2180666,296.5147657,714.1814015,2949.661623,1319.551749,646.2256847,1246.296818,1784.221764,2056.726169,897.0911908,889.2131162,552.5496187
3176,989.7221374,1233.242294,580.752604,1405.606425,454.0278504,370.4116864,416.8079248,3581.608845,1197.736499,524.9467624,1722.112062,1592.512397,2363.708329,1181.768451,655.5712538,415.6786502
3174,756.5253165,663.5344678,535.798901,1204.178421,655.6952383,730.480764,93.57495765,3707.501321,704.0008848,842.073544,1497.77084,1735.486804,2446.01604,1339.528461,827.9596039,514.9771473
3172,370.9698801,474.8215706,386.9539063,1297.618151,582.3538016,512.2802384,233.1778919,2887.660945,597.8412832,1016.97152,1247.284351,1772.913322,2486.582206,1206.006101,766.7297558,619.8000291
